file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
u1_l1_007,0.0,2.8128125,raw_corpus,-47.18071619217082,-52.69700039134306,3.847115865970275,18.13230517785896
u1_l1_004,0.0,2.2143125,raw_corpus,-48.21515748727376,-52.22041924794515,3.596280400724768,14.211847395035125
u1_l1_003,0.0,2.5135625,raw_corpus,-44.85542595244024,-48.30936845143636,2.891908965113298,22.228758166749877
u1_l1_015,0.0,2.334,raw_corpus,-45.88654690853004,-51.01298586527506,2.6579736110617964,17.58663640019821
u1_l1_006,0.0,2.45375,raw_corpus,-42.117621970663265,-45.38631534576416,2.25414999272693,20.322205013574326
u1_l1_017,0.0,2.81275,raw_corpus,-43.09334338856762,-47.87906241416931,2.2515750153266763,20.520473075264174
u1_l1_020,0.0,2.753,raw_corpus,-41.427006392045456,-48.51305437088013,2.2515750153266763,20.191872519173913
u1_l1_011,0.0,3.3514375,raw_corpus,-47.78687033582089,-53.83970751081194,2.2198510573749544,18.650235327490712
u1_l1_001,0.0,1.9749375,raw_corpus,-44.66624365482234,-54.785287857055664,2.08451768859819,21.49342326004512
u1_l1_002,0.0,1.4961875,raw_corpus,-44.121123046875,-56.54930591583252,2.0845171322687492,22.01524037524384
u1_l1_009,0.0,2.9923125,raw_corpus,-46.21635268603679,-49.872456199244446,1.8742544987871288,21.10030330823093
u1_l1_010,0.0,3.471125,raw_corpus,-41.46378838706772,-49.17451993156882,1.7863105956606118,21.400601036665822
u1_l1_012,0.0,2.6333125,raw_corpus,-46.3603515625,-50.03340209157843,1.4999999999289455,20.416573732287006
u1_l1_016,0.0,2.334,raw_corpus,-43.57493126341202,-46.14470418294271,1.4532012210276626,21.064917980860827
u1_l1_005,0.0,2.5734375,raw_corpus,-45.00491701118677,-50.8630116780599,1.13807131588287,18.124632873132203
u1_l1_014,0.0,2.9325,raw_corpus,-46.41518904650171,-51.95275216353567,1.1210072306846102,17.63796508867028
u1_l1_019,0.0,3.0521875,raw_corpus,-44.64841828893443,-53.55897808074951,1.1093117867720503,17.77466202991776
u1_l1_013,0.0,3.0521875,raw_corpus,-45.04989754098361,-49.972045535133,1.1093117867720503,21.5934005852664
u1_l1_008,0.0,3.0521875,raw_corpus,-49.815999615778686,-53.9018544648823,0.9877215127634987,17.61416076488459
u1_l1_018,0.0,2.5135625,raw_corpus,-46.64514597858566,-51.83655285835266,0.9748391276970315,17.00223209565614
