file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
u1_l1_004,0.0,2.2143125,raw_corpus,-47.816012973699095,-50.229958852132164,3.596280400724768,14.211847115312356
u1_l1_018,0.0,2.5135625,raw_corpus,-46.35325494895418,-50.79954504966736,3.0271550728042667,17.00223209565614
u1_l1_014,0.0,2.9325,raw_corpus,-46.00963563886519,-51.3028968007941,3.015537670568918,17.637965524441746
u1_l1_002,0.0,1.4961875,raw_corpus,-44.206630859375,-55.15663242340088,2.7630337649401318,19.784811328223448
u1_l1_003,0.0,2.5135625,raw_corpus,-44.5500108939243,-47.889939308166504,2.626930952022221,20.819570227542933
u1_l1_012,0.0,2.6333125,raw_corpus,-46.43774506891635,-49.863845222874694,2.572496991496631,17.860433516916345
u1_l1_006,0.0,2.45375,raw_corpus,-41.65168207908163,-44.12671216328939,2.5226213513320204,19.190435265952487
u1_l1_005,0.0,2.5734375,raw_corpus,-44.358691026264594,-49.17043813069662,2.1031270153363804,18.124632873132203
u1_l1_013,0.0,3.0521875,raw_corpus,-45.00340356045082,-49.38285173688616,2.0674279939529274,20.149559856273676
u1_l1_009,0.0,2.9923125,raw_corpus,-46.7060546875,-49.41243221885279,2.0289868858013724,19.468151382505752
u1_l1_007,0.0,2.8128125,raw_corpus,-46.9191468805605,-52.02281031889074,1.8919686716606738,18.13230571661721
u1_l1_010,0.0,3.471125,raw_corpus,-41.54958517201008,-49.06624894983628,1.7863105956606118,19.984076570838585
u1_l1_001,0.0,1.9749375,raw_corpus,-45.01819777125635,-51.29052448272705,1.6791600267817322,20.785472353228784
u1_l1_016,0.0,2.334,raw_corpus,-43.37361688572961,-45.946736653645836,1.6595588651347053,19.045356196620304
u1_l1_020,0.0,2.753,raw_corpus,-41.798224431818184,-47.10419988632202,1.6595582041660244,19.021995006173597
u1_l1_019,0.0,3.0521875,raw_corpus,-43.95490522540984,-51.917670488357544,1.5610497969543442,17.77466202991776
u1_l1_017,0.0,2.81275,raw_corpus,-42.88081072064057,-45.82365942001343,1.480632251314011,19.377580480341923
u1_l1_008,0.0,3.0521875,raw_corpus,-49.24793481045082,-52.89708910490337,1.41486912015395,17.61416076488459
u1_l1_011,0.0,3.3514375,raw_corpus,-47.363015974813436,-52.81741605486189,1.2379734739335109,18.650235327490712
u1_l1_015,0.0,2.334,raw_corpus,-45.22435789967811,-50.15679518381754,1.0486833909146305,17.58663685576839
